Skeleton ID,Side Analyzed,Metopic suture present,Supraorbital foramen,Supraorbital notch,Infraorbital suture,Multiple infraorbital foramina,Zygomaticofacial foramina,Os japonicum present,Parietal foramen,Coronal ossicle,Bregmatic ossicle,Sagittal ossicle,Epipteric ossicle,Parietal notch ossicle,Occipitomastoid ossicle,Asterionic ossicle,Apical/Lambda ossicle,Lambdoidal suture ossicle,Os inca,Condylar facet double,Condylar canal present,Divided hypoglossal canal,Tympanic dihiscence,Mastoid foramen extrasutural,Mastoid foramen absent,Auditory exostosis present,Mental foramen multiple,Mylohyoid bridge present
"T16","Some of Both","0","1","1","2","2","1","0","1","0","0","0","2","2","2","0","0","1","0","0","2","0","2","1","0","0","0","0"
"T18","Some of Both","0","0","1","1","0","1","0","1","0","0","0","2","2","2","2","0","0","0","2","0","0","0","2","2","0","0","0"
"T19","Some of Both","0","2","2","2","0","2","0","1","0","0","2","2","2","2","2","2","2","2","0","2","0","2","2","2","2","0","0"
"T21","Some of Both","2","1","1","1","0","0","0","2","2","2","2","2","2","2","2","0","0","0","0","0","0","0","2","2","0","0","0"
"T22","Some of Both","0","2","1","2","2","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","0","0","0","0"
"T23","Some of Both","0","0","1","1","0","0","0","2","0","0","2","2","1","2","2","0","1","0","0","0","0","0","2","2","0","0","0"
"T24","Some of Both","0","0","1","2","2","1","0","0","2","2","2","2","2","2","2","2","2","0","0","1","1","0","1","0","0","2","0"
"T27","Some of Both","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0","2","2","2","2","2","2"
"T28","Some of Both","0","1","1","0","0","1","0","1","0","0","2","0","0","0","0","2","2","2","0","0","0","0","1","0","0","0","0"
"T30","Some of Both","2","2","2","2","2","0","0","0","2","2","2","2","2","2","2","2","2","0","0","2","1","2","2","2","2","0","0"
"T31","Some of Both","1","2","1","1","0","1","0","2","0","0","0","2","2","2","2","0","0","0","2","2","2","2","2","2","0","0","0"
"T33","Some of Both","0","0","1","2","2","0","0","2","2","0","2","2","2","2","2","2","2","0","2","2","1","0","2","2","0","0","0"
"T34","Some of Both","2","0","1","2","2","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","2","2","2","0","0","0"
"T35","Some of Both","0","2","2","2","2","0","0","1","2","2","2","2","0","0","0","0","0","0","0","1","1","2","2","2","0","0","0"
"T37","Some of Both","0","2","2","2","2","0","0","2","2","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","1","0","0"
"T38","Left","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","0","2","2","2","0","1","0","0","0","0"
"T39","Some of Both","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","2","0","2","2"
"T40","Some of Both","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","2","2","0","2","2"
"T41","Some of Both","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","0","2","2","2","2","0","2","2"
"T42","Some of Both","2","2","2","2","2","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","1","0"
"T47","Some of Both","2","2","1","2","2","0","0","1","2","2","2","2","0","2","2","0","2","0","2","2","2","2","2","2","0","0","0"
"T48","Some of Both","2","1","0","2","2","1","0","2","2","2","2","2","2","2","2","2","2","2","0","2","0","0","2","2","1","2","0"
"T50","Left","2","2","2","2","2","0","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","0","0"
"T53","Some of Both","2","2","2","2","2","1","0","2","2","2","2","2","2","2","2","2","2","2","0","0","0","2","2","2","0","0","0"
"T57","Some of Both","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","2","0","0","2","2","0","0","0"
"T59","Some of Both","0","1","1","2","2","0","2","2","2","2","2","2","2","2","2","2","2","2","2","2","2","0","2","2","0","0","0"
